user_id,created_at,company_id,language,activated_at,state
0.0,2013-01-01 20:59:39,5737.0,english,2013-01-01 21:01:07,active
1.0,2013-01-01 13:07:46,28.0,english,,pending
2.0,2013-01-01 10:59:05,51.0,english,,pending
3.0,2013-01-01 18:40:36,2800.0,german,2013-01-01 18:42:02,active
4.0,2013-01-01 14:37:51,5110.0,indian,2013-01-01 14:39:05,active
5.0,2013-01-01 13:39:51,2463.0,spanish,,pending
6.0,2013-01-01 18:37:27,11699.0,english,2013-01-01 18:38:45,active
7.0,2013-01-01 16:19:01,4765.0,french,2013-01-01 16:20:28,active
8.0,2013-01-01 04:38:30,2698.0,french,2013-01-01 04:40:10,active
9.0,2013-01-01 08:04:17,1.0,french,,pending
10.0,2013-01-01 09:36:41,10.0,arabic,,pending
11.0,2013-01-01 08:07:45,3745.0,english,2013-01-01 08:09:17,active
12.0,2013-01-01 18:05:05,903.0,english,,pending
13.0,2013-01-02 12:27:54,4025.0,english,2013-01-02 12:29:20,active
14.0,2013-01-02 17:17:28,5077.0,portugese,,pending
15.0,2013-01-02 15:39:52,4259.0,english,2013-01-02 15:41:16,active
16.0,2013-01-02 17:45:36,10408.0,german,,pending
17.0,2013-01-02 10:56:15,5025.0,japanese,2013-01-02 10:57:58,active
18.0,2013-01-02 08:18:20,3.0,japanese,,pending
19.0,2013-01-02 09:54:01,326.0,english,2013-01-02 09:55:34,active
20.0,2013-01-02 09:41:41,7.0,italian,2013-01-02 09:43:26,active
21.0,2013-01-02 09:29:21,2606.0,english,2013-01-02 09:30:51,active
22.0,2013-01-02 17:36:42,545.0,german,2013-01-02 17:38:09,active
23.0,2013-01-02 20:04:46,15.0,english,,pending
24.0,2013-01-03 13:08:56,11301.0,english,,pending
25.0,2013-01-03 05:38:52,2.0,japanese,,pending
26.0,2013-01-03 12:11:16,9833.0,english,,pending
27.0,2013-01-03 16:14:04,6.0,japanese,2013-01-03 16:15:31,active
28.0,2013-01-03 09:53:25,1167.0,english,,pending
29.0,2013-01-03 13:00:26,1208.0,english,,pending
30.0,2013-01-03 08:28:15,4148.0,english,2013-01-03 08:29:17,active
31.0,2013-01-03 15:45:25,39.0,arabic,2013-01-03 15:46:49,active
32.0,2013-01-03 15:55:26,6518.0,english,,pending
33.0,2013-01-03 12:16:59,10768.0,english,2013-01-03 12:18:21,active
34.0,2013-01-03 11:24:13,11353.0,japanese,,pending
35.0,2013-01-03 16:06:09,1891.0,english,2013-01-03 16:07:28,active
36.0,2013-01-03 11:51:59,2.0,english,2013-01-03 11:53:38,active
37.0,2013-01-03 07:13:51,7943.0,spanish,,pending
38.0,2013-01-04 08:51:39,7618.0,french,,pending
39.0,2013-01-04 08:53:30,6322.0,chinese,,pending
40.0,2013-01-04 12:59:41,361.0,english,,pending
41.0,2013-01-04 13:06:44,5049.0,english,,pending
42.0,2013-01-04 19:52:02,3.0,english,,pending
43.0,2013-01-04 13:40:38,1486.0,english,,pending
44.0,2013-01-04 13:52:44,706.0,japanese,,pending
45.0,2013-01-04 07:46:24,7432.0,japanese,,pending
46.0,2013-01-04 13:48:25,719.0,english,,pending
47.0,2013-01-04 10:39:31,1.0,indian,2013-01-04 10:41:06,active
48.0,2013-01-04 09:55:55,27.0,english,,pending
49.0,2013-01-05 14:33:28,8727.0,spanish,2013-01-05 14:34:57,active
50.0,2013-01-05 17:41:53,12526.0,spanish,2013-01-05 17:43:27,active
51.0,2013-01-05 21:57:13,11855.0,english,,pending
52.0,2013-01-06 13:35:41,6.0,english,2013-01-06 13:37:09,active
53.0,2013-01-06 01:29:12,13119.0,english,,pending
54.0,2013-01-06 02:52:34,2.0,english,2013-01-06 02:54:04,active
55.0,2013-01-06 14:35:58,2233.0,german,2013-01-06 14:37:32,active
56.0,2013-01-07 08:03:58,4224.0,english,,pending
57.0,2013-01-07 07:10:18,3184.0,portugese,,pending
58.0,2013-01-07 18:24:27,6855.0,german,,pending
59.0,2013-01-07 20:47:53,2296.0,chinese,2013-01-07 20:49:34,active
60.0,2013-01-07 18:11:10,3427.0,english,,pending
61.0,2013-01-07 11:54:14,9260.0,spanish,,pending
62.0,2013-01-07 18:12:07,4.0,japanese,,pending
63.0,2013-01-07 18:37:52,5.0,english,,pending
64.0,2013-01-07 09:56:01,9229.0,english,2013-01-07 09:57:14,active
65.0,2013-01-07 16:05:53,12736.0,portugese,,pending
66.0,2013-01-07 15:37:53,7927.0,french,2013-01-07 15:39:32,active
67.0,2013-01-07 13:46:18,10818.0,english,2013-01-07 13:47:32,active
68.0,2013-01-07 14:38:23,11005.0,spanish,,pending
69.0,2013-01-08 02:48:41,128.0,english,,pending
70.0,2013-01-08 18:57:25,502.0,english,,pending
71.0,2013-01-08 18:30:11,3640.0,japanese,,pending
72.0,2013-01-08 08:40:42,9024.0,english,,pending
73.0,2013-01-08 13:36:14,33.0,english,,pending
74.0,2013-01-08 21:11:48,1.0,english,,pending
75.0,2013-01-08 14:45:01,26.0,english,,pending
76.0,2013-01-08 11:05:56,215.0,english,,pending
77.0,2013-01-08 14:21:50,21.0,english,,pending
78.0,2013-01-08 12:58:44,1.0,english,2013-01-08 13:00:19,active
79.0,2013-01-08 14:28:28,5870.0,chinese,,pending
80.0,2013-01-08 06:19:06,925.0,spanish,2013-01-08 06:20:46,active
81.0,2013-01-08 10:19:09,10217.0,russian,,pending
82.0,2013-01-09 08:52:43,12403.0,english,,pending
83.0,2013-01-09 16:40:52,2343.0,english,2013-01-09 16:42:34,active
84.0,2013-01-09 17:14:36,9501.0,english,2013-01-09 17:16:13,active
85.0,2013-01-09 08:43:31,9531.0,spanish,,pending
86.0,2013-01-09 13:24:02,1.0,indian,2013-01-09 13:25:27,active
87.0,2013-01-09 09:54:30,95.0,english,2013-01-09 09:56:19,active
88.0,2013-01-09 15:43:40,3629.0,english,,pending
89.0,2013-01-09 17:17:41,100.0,french,,pending
90.0,2013-01-09 12:27:51,789.0,english,2013-01-09 12:29:32,active
91.0,2013-01-09 12:34:39,5895.0,arabic,,pending
92.0,2013-01-09 10:45:04,1.0,english,2013-01-09 10:46:19,active
93.0,2013-01-10 18:05:17,11406.0,italian,,pending
94.0,2013-01-10 18:07:35,1.0,english,,pending
